DISTRICT,DT_CEN_CD,ST_CEN_CD,ST_NM,avg_lights_x_pct,avg_vis,censuscode,cf_cvg,stable_lights
Data Not Available,99,99,Jammu & Kashmir,0.2967906256,2.9798049299,0,44.0469390272,0.4298452498
Kupwara,1,1,Jammu & Kashmir,0.0884039234,2.6481553849,1,48.4893819155,0.2045805722
Badgam,2,1,Jammu & Kashmir,1.487528207,4.0203731821,2,46.3961807353,1.9864940116
Leh (ladakh),3,1,Jammu & Kashmir,0.0797803935,2.4818147836,3,48.6980601817,0.0186738724
Kargil,4,1,Jammu & Kashmir,0.0803849124,2.6855449738,4,47.4538943785,0.0584229899
Punch,5,1,Jammu & Kashmir,0.2612891315,2.978893559,5,47.3494910296,0.8108574112
Rajouri,6,1,Jammu & Kashmir,0.4875115342,3.3410933417,6,49.0203988195,1.513366403
Kathua,7,1,Jammu & Kashmir,2.8182446978,5.3596854927,7,51.3171490227,3.9490400018
Baramula,8,1,Jammu & Kashmir,1.2654977486,3.9766771863,8,48.9189867214,2.0643007162
Bandipore,9,1,Jammu & Kashmir,0.0528337817,2.6893576639,9,47.7544436637,0.0506110415
Srinagar,10,1,Jammu & Kashmir,3.7234466913,6.2171648982,10,47.985346847,4.6900875115
Ganderbal,11,1,Jammu & Kashmir,0.0397730532,2.7072681183,11,44.1949041274,0.008278193
Pulwama,12,1,Jammu & Kashmir,0.714607177,3.6079791887,12,50.1326721216,2.0364061304
Shupiyan,13,1,Jammu & Kashmir,0.185302824,2.9278361118,13,50.6062712753,0.4641545914
Anantnag,14,1,Jammu & Kashmir,0.1642770795,2.7424942058,14,47.6584661303,0.3570897494
Kulgam,15,1,Jammu & Kashmir,0.0618520581,2.6815124419,15,43.4432676037,0.1912368502
Doda,16,1,Jammu & Kashmir,0.4026390236,2.8330980788,16,48.2942458227,0.5910936828
Ramban,17,1,Jammu & Kashmir,0.3542129516,3.0130186136,17,50.4905389306,0.8410221648
Kishtwar,18,1,Jammu & Kashmir,0.0680000761,2.6260788932,18,46.4456951101,0.0496665446
Udhampur,19,1,Jammu & Kashmir,1.1473366569,3.7205380583,19,50.5615950948,1.7059677076
Reasi,20,1,Jammu & Kashmir,0.9200577867,3.4676090171,20,49.3455202595,1.5211880866
Jammu,21,1,Jammu & Kashmir,12.2339687646,14.0657481103,21,51.7942171548,13.9227375122
Samba,22,1,Jammu & Kashmir,6.2822613009,8.5238647979,22,54.5152082142,8.0110502821
Chamba,1,2,Himachal Pradesh,0.2867231927,2.8976618499,23,46.8567523175,0.6262447046
Kangra,2,2,Himachal Pradesh,1.8270318332,4.8583330758,24,50.6083378113,3.8647818618
Lahul & Spiti,3,2,Himachal Pradesh,0.0562349282,2.8090826055,25,52.7200213666,0.0072213812
Kullu,4,2,Himachal Pradesh,0.6211344103,3.3639841362,26,52.4448995606,1.0165215282
Mandi,5,2,Himachal Pradesh,1.6756756335,4.660912168,27,54.7353906016,3.0910907641
Hamirpur,6,2,Himachal Pradesh,2.5376108953,6.2861615178,28,54.8512978835,6.2310492691
Una,7,2,Himachal Pradesh,4.6370968993,7.6713340316,29,55.292449548,7.4325281726
Bilaspur,8,2,Himachal Pradesh,4.8245435986,7.9214988023,30,56.9835963976,7.8520798391
Solan,9,2,Himachal Pradesh,6.7546887072,9.7706610597,31,56.7088309036,9.7323508466
Sirmaur,10,2,Himachal Pradesh,1.8704497677,5.0323196576,32,55.809438912,3.791643348
Shimla,11,2,Himachal Pradesh,0.9894588346,3.9093768356,33,54.9850652416,1.9529094838
Kinnaur,12,2,Himachal Pradesh,0.1643193165,2.8718704329,34,58.05918013,0.2075318392
Gurdaspur,1,3,Punjab,11.3904294723,12.8325485772,35,55.4631456304,12.7533966026
Kapurthala,2,3,Punjab,10.2028802579,12.6122799916,36,59.0683803711,12.6122799916
Jalandhar,3,3,Punjab,14.5180553756,16.1201308812,37,60.4966197488,16.1201308812
Hoshiarpur,4,3,Punjab,7.2329291721,9.7607459378,38,55.9187833198,9.5839690597
Shahid Bhagat Singh Nagar,5,3,Punjab,8.3951036219,10.8733771051,39,57.7403301704,10.8320028345
Fatehgarh Sahib,6,3,Punjab,11.5599134129,13.6145489821,40,61.5715164962,13.6145489821
Ludhiana,7,3,Punjab,15.9180517338,17.5239930139,41,61.2171013341,17.5239930139
Moga,8,3,Punjab,10.3896613797,12.5945672916,42,60.2097551721,12.5945672916
Firozpur,9,3,Punjab,8.3570694177,11.324274605,43,54.9455184955,11.324274605
Muktsar,10,3,Punjab,8.2025138863,11.4726521118,44,57.2478092919,11.4726521118
Faridkot,11,3,Punjab,9.6149588416,12.4305380104,45,56.0828917932,12.4305380104
Bathinda,12,3,Punjab,10.101831935,12.8796699906,46,60.1497339817,12.8796699906
Mansa,13,3,Punjab,6.5745842891,10.1632581746,47,63.3318911691,10.1632581746
Patiala,14,3,Punjab,11.5743115122,13.8693050491,48,62.7569159597,13.8693050491
Amritsar,15,3,Punjab,15.5745402254,16.6898131606,49,52.6254170523,16.6898131606
Tarn Taran,16,3,Punjab,12.393386788,13.7499612757,50,54.8711604434,13.7499612757
Rupnagar,17,3,Punjab,8.6470649584,11.0495681844,51,58.0891085809,10.9881391309
Sahibzada Ajit Singh Nagar,18,3,Punjab,19.5301993106,20.4608910969,52,59.0713718545,20.4608910969
Sangrur,19,3,Punjab,9.3587329383,12.0936998455,53,65.0105343165,12.0936998455
Barnala,20,3,Punjab,9.0692017158,11.9298140079,54,65.3188232284,11.9298140079
Chandigarh,1,4,Chandigarh,60.1984949722,60.1650081905,55,57.6395198161,60.1650081905
Uttarkashi,1,5,Uttarakhand,0.3774245013,3.0927318009,56,59.3090647039,0.467523083
Chamoli,2,5,Uttarakhand,0.2618561035,2.9679351625,57,55.0711792573,0.3883154154
Rudraprayag,3,5,Uttarakhand,0.2475713952,2.9825402783,58,61.1259146995,0.6901471089
Tehri Garhwal,4,5,Uttarakhand,1.623720309,4.5521862559,59,61.1816611408,3.0831604633
Dehradun,5,5,Uttarakhand,6.8481403248,9.2164542345,60,56.4787065792,7.8251997247
Garhwal,6,5,Uttarakhand,1.0501658195,3.8658945251,61,63.5252333594,1.6312769654
Pithoragarh,7,5,Uttarakhand,0.5122012494,3.188968221,62,56.5935951895,0.2870114298
Bageshwar,8,5,Uttarakhand,0.8209315276,3.5448030915,63,60.5181581036,0.9087053737
Almora,9,5,Uttarakhand,1.4159899386,4.4202060777,64,64.1603916003,2.5840621094
Champawat,10,5,Uttarakhand,0.9962466612,3.5591549796,65,66.1594571535,0.3254288203
Nainital,11,5,Uttarakhand,3.0354495765,5.7019318895,66,66.5456652893,3.8355613288
Udham Singh Nagar,12,5,Uttarakhand,10.1886289003,11.9695434508,67,67.3424134738,11.6651018619
Hardwar,13,5,Uttarakhand,8.484004726,10.9661069724,68,59.5970652988,10.3656654362
