DISTRICT,DT_CEN_CD,ST_CEN_CD,ST_NM,avg_lights_x_pct,avg_vis,censuscode,cf_cvg,stable_lights
Adilabad,1,28,Andhra Pradesh,5.197013106,6.879606521,532,65.79105506,5.202686347
Agra,15,9,Uttar Pradesh,12.54485586,13.22363426,146,73.43904122,12.5421056
Ahmadabad,7,24,Gujarat,9.619672766,10.9490261,474,66.52581253,9.618116944
Ahmadnagar,26,27,Maharashtra,7.42833679,7.94637602,522,65.80556616,7.437032697
Aizawl,3,15,Mizoram,0.886804391,5.005648284,283,63.17123905,0.887389287
Ajmer,21,8,Rajasthan,6.44846377,8.709929293,119,75.61980835,6.456743919
Akola,5,27,Maharashtra,6.239935894,6.954465755,501,67.76406592,6.248908847
Alappuzha,11,32,Kerala,13.59346173,13.60244973,598,56.9103869,13.60244973
Aligarh,12,9,Uttar Pradesh,5.45958746,7.707592242,143,73.92830929,5.453179416
Alirajpur,48,23,Madhya Pradesh,0.68416511,4.494167926,465,70.2854326,0.682056409
Allahabad,44,9,Uttar Pradesh,9.423261906,10.08689468,175,69.74990841,9.420863437
Almora,9,5,Uttarakhand,3.99589151,5.728072718,64,73.86695491,3.988482012
Alwar,6,8,Rajasthan,12.08316373,12.48209409,104,76.44888689,12.08137856
Ambala,2,6,Haryana,19.83032063,19.83670856,70,71.96313901,19.83670856
Ambedkar Nagar,47,9,Uttar Pradesh,3.73324286,6.424540445,178,70.2667823,3.734110938
Amravati,7,27,Maharashtra,4.816430728,6.265839652,503,68.8547315,4.82483841
Amreli,13,24,Gujarat,6.26905091,6.64142068,480,69.01043336,6.277291025
Amritsar,15,3,Punjab,19.95049814,19.95740685,49,70.6967443,19.95740685
Anand,15,24,Gujarat,10.2745196,10.86006065,482,69.86824154,10.28274936
Anantapur,22,28,Andhra Pradesh,5.737795869,6.958134513,553,63.88974092,5.73454928
Anantnag,14,1,Jammu & Kashmir,0.992011893,4.140721524,14,63.55002143,0.990846658
Anjaw,16,12,Arunanchal Pradesh,0,3.569449284,260,70.93750396,0
Anugul,15,21,Odisha,5.835142618,8.471791018,384,56.16850186,5.83685209
Anuppur,44,23,Madhya Pradesh,3.517782187,5.846900557,461,63.47731859,3.527138669
Araria,7,10,Bihar,1.684221078,4.981421261,209,71.55086371,1.671810352
Ariyalur,15,33,Tamil Nadu,9.379922985,9.383410291,616,65.05141718,9.383410291
Arwal,38,10,Bihar,0.92268676,4.599546384,240,66.12817406,0.921531687
Ashoknagar,42,23,Madhya Pradesh,1.138359343,5.073780669,459,74.60148575,1.138814
Auraiya,31,9,Uttar Pradesh,6.616541775,8.753099969,162,74.48457876,6.625382162
Aurangabad,33,10,Bihar,1.788029239,5.077510973,235,64.45280781,1.792088323
Aurangabad,19,27,Maharashtra,5.321934272,6.908809545,515,65.97668671,5.331841342
Azamgarh,60,9,Uttar Pradesh,2.384851208,5.554693267,191,65.63551421,2.384279698
Badgam,2,1,Jammu & Kashmir,4.305469249,6.946395865,2,62.57941756,4.303424678
Bagalkot,2,29,Karnataka,8.173194885,8.477364382,556,66.58544959,8.173707382
Bageshwar,8,5,Uttarakhand,1.412319587,4.32919284,63,69.81320176,1.410278957
Baghpat,8,9,Uttar Pradesh,9.22689852,9.244969977,139,70.89902563,9.229637644
Bahraich,49,9,Uttar Pradesh,0.761922502,4.688584583,180,71.59607547,0.763500987
Baksa,25,18,Assam,0.417816812,4.618919217,324,70.07125941,0.420719044
Balaghat,40,23,Madhya Pradesh,1.816993538,4.935653789,457,63.35067284,1.821992423
Balangir,24,21,Odisha,1.731166038,5.046749209,393,63.04410589,1.734515953
Baleshwar,8,21,Odisha,4.786328823,7.041826134,377,53.95889384,4.789701086
Ballia,62,9,Uttar Pradesh,2.01390495,5.246984459,193,68.21468315,2.00662493
Balrampur,51,9,Uttar Pradesh,0.992895015,4.845483561,182,72.42281985,0.992631349
Banas Kantha,2,24,Gujarat,4.81952102,6.566423682,469,66.41470342,4.820741393
Banda,39,9,Uttar Pradesh,1.452542529,4.936268934,170,71.68269896,1.455349092
